iter	Passed	Remaining
657	1116	580
658	1118	578
659	1119	576
660	1120	574
661	1122	573
662	1124	571
663	1125	569
664	1126	567
665	1128	565
666	1129	564
667	1131	562
668	1132	560
669	1134	558
670	1135	556
671	1137	555
672	1138	553
673	1140	551
674	1141	549
675	1143	548
676	1144	546
677	1146	544
678	1147	542
679	1149	540
680	1150	539
681	1152	537
682	1153	535
683	1155	533
684	1156	531
685	1158	530
686	1159	528
687	1161	526
688	1162	524
689	1164	523
690	1165	521
691	1167	519
692	1168	517
693	1170	516
694	1171	514
695	1173	512
696	1174	510
697	1176	508
698	1177	507
699	1179	505
700	1180	503
701	1182	501
702	1183	500
703	1185	498
704	1187	496
705	1188	494
706	1189	493
707	1191	491
708	1192	489
709	1194	487
710	1195	486
711	1197	484
712	1198	482
713	1200	480
714	1202	479
715	1203	477
716	1205	475
717	1206	474
718	1208	472
719	1209	470
720	1211	468
721	1212	466
722	1214	465
723	1215	463
724	1216	461
725	1218	459
726	1219	458
727	1221	456
728	1222	454
729	1223	452
730	1225	450
731	1226	449
732	1228	447
733	1229	445
734	1231	443
735	1232	442
736	1234	440
737	1235	438
738	1236	436
739	1238	435
740	1239	433
741	1241	431
742	1242	429
743	1243	428
744	1245	426
745	1246	424
746	1248	422
747	1249	421
748	1251	419
749	1252	417
750	1253	415
751	1255	414
752	1257	412
753	1258	410
754	1259	408
755	1261	407
756	1262	405
757	1264	403
758	1265	401
759	1267	400
760	1268	398
761	1270	396
762	1271	395
763	1273	393
764	1274	391
765	1276	389
766	1277	388
767	1279	386
768	1280	384
769	1282	382
770	1283	381
771	1285	379
772	1286	377
773	1288	376
774	1289	374
775	1291	372
776	1292	370
777	1294	369
778	1295	367
779	1297	365
780	1298	364
781	1299	362
782	1301	360
783	1302	358
784	1304	357
785	1305	355
786	1307	353
787	1308	352
788	1310	350
789	1311	348
790	1312	346
791	1314	345
792	1315	343
793	1317	341
794	1318	340
795	1320	338
796	1321	336
797	1323	334
798	1324	333
799	1326	331
800	1327	329
801	1329	328
802	1330	326
803	1332	324
804	1333	323
805	1335	321
806	1336	319
807	1338	317
808	1339	316
809	1341	314
810	1342	312
811	1344	311
812	1345	309
813	1347	307
814	1348	306
815	1350	304
816	1351	302
817	1353	301
818	1354	299
819	1355	297
820	1357	295
821	1358	294
822	1360	292
823	1361	290
824	1363	289
825	1364	287
826	1365	285
827	1367	284
828	1368	282
829	1370	280
830	1371	279
831	1373	277
832	1374	275
833	1376	273
834	1377	272
835	1379	270
836	1380	268
837	1382	267
838	1383	265
839	1384	263
840	1386	262
841	1388	260
842	1389	258
843	1390	257
844	1392	255
845	1393	253
846	1395	252
847	1396	250
848	1398	248
849	1399	246
850	1400	245
851	1402	243
852	1404	241
853	1405	240
854	1407	238
855	1408	236
856	1410	235
857	1411	233
858	1412	231
859	1414	230
860	1415	228
861	1417	226
862	1419	225
863	1420	223
864	1421	221
865	1423	220
866	1424	218
867	1426	216
868	1427	215
869	1429	213
870	1430	211
871	1432	210
872	1433	208
873	1435	206
874	1436	205
875	1438	203
876	1439	201
877	1441	200
878	1442	198
879	1444	196
880	1445	195
881	1447	193
882	1448	191
883	1450	190
884	1451	188
885	1453	186
886	1454	185
887	1456	183
888	1457	182
889	1459	180
890	1460	178
891	1462	177
892	1463	175
893	1465	173
894	1466	172
895	1468	170
896	1469	168
897	1471	167
898	1472	165
899	1474	163
900	1475	162
901	1477	160
902	1478	158
903	1480	157
904	1481	155
905	1483	153
906	1484	152
907	1485	150
908	1487	148
909	1488	147
910	1490	145
911	1491	143
912	1493	142
913	1494	140
914	1496	138
915	1497	137
916	1498	135
917	1500	134
918	1501	132
919	1503	130
920	1504	129
921	1506	127
922	1507	125
923	1508	124
924	1510	122
925	1511	120
926	1513	119
927	1514	117
928	1515	115
929	1517	114
930	1518	112
931	1520	110
932	1521	109
933	1523	107
934	1524	106
935	1526	104
936	1527	102
937	1529	101
938	1530	99
939	1531	97
940	1533	96
941	1534	94
942	1536	92
943	1537	91
944	1539	89
945	1540	87
946	1541	86
947	1543	84
948	1544	83
949	1545	81
950	1547	79
951	1548	78
952	1550	76
953	1551	74
954	1553	73
955	1554	71
956	1556	69
957	1557	68
958	1559	66
959	1561	65
960	1562	63
961	1563	61
962	1565	60
963	1566	58
964	1568	56
965	1569	55
966	1571	53
967	1572	51
968	1574	50
969	1575	48
970	1576	47
971	1578	45
972	1579	43
973	1581	42
974	1582	40
975	1584	38
976	1585	37
977	1586	35
978	1588	34
979	1589	32
980	1591	30
981	1592	29
982	1594	27
983	1595	25
984	1597	24
985	1598	22
986	1600	21
987	1601	19
988	1603	17
989	1604	16
990	1606	14
991	1607	12
992	1609	11
993	1610	9
994	1612	8
995	1613	6
996	1615	4
997	1616	3
998	1617	1
999	1619	0
